,a,a_x,a_y,b,b_x,b_y,m,mode,p_x
0,,,,,,,20,det_giv,0.2
0,,,,,,,40,det_giv,1.0
0,,,,,,,40,det_giv,0.667
0,,,,,,,40,det_giv,0.5
0,,,,,,,40,det_giv,0.4
0,,,,,,,60,det_giv,1.5
0,,,,,,,60,det_giv,1.0
0,,,,,,,60,det_giv,0.75
0,,,,,,,60,det_giv,0.6
0,,,,,,,80,det_giv,2.0
0,,,,,,,80,det_giv,1.333
0,,,,,,,80,det_giv,1.0
0,,,,,,,100,det_giv,5.0
0,,,,,,,100,det_giv,2.5
0,,,,,,,100,det_giv,1.25
0,,,,,,,20,sec_1bl_1ch,0.5
0,,,,,,,20,sec_1bl_1ch,0.333
0,,,,,,,20,sec_1bl_1ch,0.25
0,,,,,,,20,sec_1bl_1ch,0.2
0,,,,,,,40,sec_1bl_1ch,1.0
0,,,,,,,40,sec_1bl_1ch,0.667
0,,,,,,,40,sec_1bl_1ch,0.5
0,,,,,,,40,sec_1bl_1ch,0.4
0,,,,,,,60,sec_1bl_1ch,1.5
0,,,,,,,60,sec_1bl_1ch,1.0
0,,,,,,,60,sec_1bl_1ch,0.75
0,,,,,,,60,sec_1bl_1ch,0.6
0,,,,,,,20,sec_2bl_1ch,0.5
0,,,,,,,20,sec_2bl_1ch,0.333
0,,,,,,,20,sec_2bl_1ch,0.25
0,,,,,,,20,sec_2bl_1ch,0.2
0,,,,,,,40,sec_2bl_1ch,1.0
0,,,,,,,40,sec_2bl_1ch,0.667
0,,,,,,,40,sec_2bl_1ch,0.5
0,,,,,,,40,sec_2bl_1ch,0.4
0,,,,,,,60,sec_2bl_1ch,1.5
0,,,,,,,60,sec_2bl_1ch,1.0
0,,,,,,,60,sec_2bl_1ch,0.75
0,,,,,,,60,sec_2bl_1ch,0.6
0,,,,,,,20,sec_ownrisk,0.5
0,,,,,,,20,sec_ownrisk,0.333
0,,,,,,,20,sec_ownrisk,0.25
0,,,,,,,20,sec_ownrisk,0.2
0,,,,,,,40,sec_ownrisk,1.0
0,,,,,,,40,sec_ownrisk,0.667
0,,,,,,,40,sec_ownrisk,0.5
0,,,,,,,40,sec_ownrisk,0.4
0,,,,,,,60,sec_ownrisk,1.5
0,,,,,,,60,sec_ownrisk,1.0
0,,,,,,,60,sec_ownrisk,0.75
0,,,,,,,60,sec_ownrisk,0.6
0,5,,,5,,,40,sec_ownrisk_fixedother,1.0
0,5,,,5,,,40,sec_ownrisk_fixedother,0.667
0,5,,,5,,,40,sec_ownrisk_fixedother,0.5
0,5,,,5,,,40,sec_ownrisk_fixedother,0.4
0,23,,,23,,,40,sec_ownrisk_fixedother,1.0
0,23,,,23,,,40,sec_ownrisk_fixedother,0.667
0,23,,,23,,,40,sec_ownrisk_fixedother,0.5
0,23,,,23,,,40,sec_ownrisk_fixedother,0.4
0,60,,,60,,,40,sec_ownrisk_fixedother,1.0
0,60,,,60,,,40,sec_ownrisk_fixedother,0.667
0,60,,,60,,,40,sec_ownrisk_fixedother,0.5
0,60,,,60,,,40,sec_ownrisk_fixedother,0.4
0,,90,10,,10,90,,probability,
0,,90,10,,10,45,,probability,
0,,45,10,,10,90,,probability,
0,,70,10,,40,40,,probability,
0,,10,70,,40,40,,probability,
